method,n,accepted_pass,accepted_fail,rejected_pass,rejected_fail,unavailable_pass,unavailable_fail,coverage,acceptance_rate,accepted_failure_risk,decided_error_rate,failure_detection_recall,passing_program_rejection_rate,failure_abstention_rate,deployment_block_rate_if_abstentions_block,failures_blocked_if_abstentions_block,pass_programs_blocked_if_abstentions_block
astrogator,420,280,9,0,57,0,74,0.8238095238095238,0.6880952380952381,0.031141868512110725,0.02601156069364162,0.40714285714285714,0.0,0.5285714285714286,0.3119047619047619,0.9357142857142857,0.0
debian_metadata_heuristics,420,280,0,0,66,0,74,0.8238095238095238,0.6666666666666666,0.0,0.0,0.4714285714285714,0.0,0.5285714285714286,0.3333333333333333,1.0,0.0
gpt6,420,280,4,0,136,0,0,1.0,0.6761904761904762,0.014084507042253521,0.009523809523809525,0.9714285714285714,0.0,0.0,0.3238095238095238,0.9714285714285714,0.0
opus55,420,279,9,1,131,0,0,1.0,0.6857142857142857,0.03125,0.023809523809523808,0.9357142857142857,0.0035714285714285713,0.0,0.3142857142857143,0.9357142857142857,0.0035714285714285713
dsl_gpt6-r0,420,280,1,0,139,0,0,1.0,0.669047619047619,0.0035587188612099642,0.002380952380952381,0.9928571428571429,0.0,0.0,0.33095238095238094,0.9928571428571429,0.0
dsl_gpt6-r1,420,280,1,0,139,0,0,1.0,0.669047619047619,0.0035587188612099642,0.002380952380952381,0.9928571428571429,0.0,0.0,0.33095238095238094,0.9928571428571429,0.0
dsl_opus55-r0,420,280,1,0,139,0,0,1.0,0.669047619047619,0.0035587188612099642,0.002380952380952381,0.9928571428571429,0.0,0.0,0.33095238095238094,0.9928571428571429,0.0
dsl_opus55-r1,420,280,9,0,131,0,0,1.0,0.6880952380952381,0.031141868512110725,0.02142857142857143,0.9357142857142857,0.0,0.0,0.3119047619047619,0.9357142857142857,0.0
